web-scraper-order,name,model,fuel_type,mileage,registration_date,price
1717973551-1,Dacia,Sandero,Petrol,62999,2017,9995
1717973551-2,Honda,Fit,Petrol Hybrid,101615,2015,11495
1717973551-3,Ford,Fiesta,Petrol,123721,2016,11995
1717973551-4,Dacia,Sandero,Petrol,71059,2018,11995
1717973551-5,BMW,i3,Electric,80689,2016,12995
1717973551-6,Hyundai,i10,Petrol,85983,2019,12995
1717973551-7,Renault,Captur,Diesel,94000,2015,12995
1717973551-8,Ford,Fiesta,Petrol,78000,2017,12995
1717973551-9,Kia,Venga,Petrol,21727,2018,13995
1717973551-10,Citroen,C4 Cactus,Diesel,91054,2017,13995
1717973551-11,Dacia,Sandero,Petrol,56838,2019,13995
1717973551-12,Renault,Clio,Petrol,90944,2019,14495
1717973551-13,Dacia,Sandero,Petrol,59000,2018,14495
1717973551-14,Hyundai,i20,Petrol,87500,2018,14995
1717973551-15,Toyota,Vitz,Petrol,93873,2019,14995
1717973551-16,Toyota,Vitz,Petrol,107511,2019,14995
1717973551-17,Nissan,Leaf,Electric,119555,2019,14995
1717973551-18,Nissan,Micra,Petrol,73607,2018,14995
1717973551-19,Kia,Rio,Petrol,73155,2018,14995
1717973551-20,Peugeot,2008,Petrol,90560,2018,14995
1717973551-21,Renault,KADJAR,Diesel,135000,2016,14995
1717973551-22,Dacia,Sandero,Petrol,49875,2021,14995
1717973551-23,Volkswagen,Polo,Petrol,64081,2017,14995
1717973551-24,Dacia,Sandero,Petrol,77878,2021,14995
