web-scraper-order,web-scraper-start-url,image-src,name,model,fuel_type,mileage,registration_date,price
"1717973551-1","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8zNzM1MzQ2XzE3MUQ0MjI3OF83OGFmZmM0ZjdlM2EyZGJmM2ZiNjQwYjVhMzU4NGMyOV8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE3MjcxMzk0IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Dacia","Sandero","Petrol","62,999 km","2017","€9,995"
"1717973551-2","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8zNzMxMjg2XzE1MkQzMjUyOF81ZDAxZmIxZDJhZWYyNThkNWNiNDYwMWM1ODg1YzQxNF8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE3NjE3MDY1IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Honda","Fit","Petrol Hybrid","101,615 km","2015","€11,495"
"1717973551-3","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8zNjkxMDI5XzE2MUQxNjE4MF81ODJiYjAyODM2OWQzMzQwNDgxZDYxYzAyN2I1Mzk5Ml8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzEzMjk2OTg0IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Ford","Fiesta","Petrol","123,721 km","2016","€11,995"
"1717973551-4","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkyOTA3Ml8xODFENTcwNF9kYWZjZjY4ZDM3ZmZlMGJkNzYzYWQ3MDE2NWMxY2FjZF8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE1OTI2NjgyIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Dacia","Sandero","Petrol","71,059 km","2018","€11,995"
"1717973551-5","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTc4ODI5M18xNjJEMjk2NTVfY2VkMGE0YzI4YmI0Y2JmMDhlODc2ZWYwMWMwMDUxYmJfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzkxMzY3NiIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","BMW","i3","Electric","80,689 km","2016","€12,995"
"1717973551-6","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg2ODgyMl8xOTFEMjQ5NjFfYzBiMDQxM2M1Zjc3NTQxYTg1YWIxMGM5NzA0NzA0MGFfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNDg4OTc5OCIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Hyundai","i10","Petrol","85,983 km","2019","€12,995"
"1717973551-7","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkxODMxOV8xNTFEMTE4MTVfMWI2MDJkZjZjOWU3NmMxMzE0MjRjMTdiZmE4ZDY5ZjJfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNTc1NDA0MiIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Renault","Captur","Diesel","94,000 km","2015","€12,995"
"1717973551-8","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkzMzYwM18xNzFEMjk5MF81NGIzZGE2MTJmNTkzNWVmZDEyYTAxMmJhZDNkZjJlY18xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE3NzQwOTMzIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Ford","Fiesta","Petrol","78,000 km","2017","€12,995"
"1717973551-9","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg3NTM1M18xODFEODg3M19hMmYyYzJmODkzODE1YmFhNGFiZjFkMGE3OTA1OTUwN18xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzEyMDY0MDAwIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Kia","Venga","Petrol","21,727 km","2018","€13,995"
"1717973551-10","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkzMzUwMF8xNzFNSDE1MzNfZjE5YzY5Mjg1ZmQ4MjI0YWEzOGI0YTZkMzE0MzM5NjJfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzY1NDU3MSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Citroen","C4 Cactus","Diesel","91,054 km","2017","€13,995"
